id,filename,line_number,organization_name,city_state,organization_type,position_held,from_date,to_date,staffer_id,organization_id,organization_slug,pfd_endnote
"1442","1271","2","J&G Real Estate Investments, Inc. (S Corporation)","Evansville, Indiana","Corporation","President","2005-05-16","","1289","6146","j-g-real-estate-investments-inc-s-corporation",""
"1443","1272","1","Delta Air Lines","Washington, DC, District of Columbia","Corporation","Senior Vice President -- Legal, Regulatory & International","2016-08-16","","1290","800","delta-air-lines",""
"1444","1272","2","Kirkland & Ellis LLP","Washington, DC, District of Columbia","Law Firm","Partner","2011-03-16","2016-04-16","1290","988","kirkland-ellis-llp",""
"1445","1274","1","Jefferson County","Golden, Colorado","County Government","Director of Human Services","2007-07-16","","1292","1454","jefferson-county",""
"1446","1274","2","Friends for Youth","Englewood, Colorado","Non-Profit","Board Member","2014-07-16","2016-06-16","1292","6147","friends-for-youth",""
"1447","1274","3","Colorado Human Services Directors Association","Boulder, Colorado","Non-Profit","Board Member","2007-07-16","","1292","6148","colorado-human-services-directors-association",""
"1448","1274","4","National Association of Public Child Welfare Administrators","Washington, District of Columbia","Association","Vice President and President Elect","2013-06-16","2016-03-16","1292","6149","national-association-of-public-child-welfare-administrators",""
"1449","1274","5","American Public Human Services Association (APHSA)","Washington, District of Columbia","Non-Profit","Executive Director","2009-03-16","","1292","6150","american-public-human-services-association-aphsa",""
"1450","1274","6","Colorado Human Trafficking Council","Golden, Colorado","Governor Appointed Council","Council Member","2014-07-16","","1292","6151","colorado-human-trafficking-council",""
"1451","1276","1","Pacific Architects and Engineers (PAE)","Arlington, Virginia","Corporation","Vice President","2015-06-16","2016-10-16","1294","1455","pacific-architects-and-engineers-pae",""
"1452","1276","2","A-T Solutions","Vienna, Virginia","Corporation","Group President","2010-06-16","2015-05-16","1294","1456","a-t-solutions",""
"1453","1276","3","InfraGard National Members Alliance","Washington, District of Columbia","Non-Profit","Chairman of the Board and Board Member","2011-10-16","2015-09-16","1294","6152","infragard-national-members-alliance",""
"1454","1276","4","Association for Rescue at Sea (AFRAS)","Washington, District of Columbia","Non-Profit","Board Member","2015-09-16","","1294","6153","association-for-rescue-at-sea-afras",""
"1455","1276","5","American University","Washington, District of Columbia","University/Colle ge","Adjunct Professorial Lecturer","2011-12-16","","1294","885","american-university",""
"1456","1276","6","National Academies of Sciences, Engineering and Medicine","Washington, District of Columbia","Non-Profit","Member, Naval Studies Board","2014-03-16","","1294","6154","national-academies-of-sciences",""
"1457","1276","7","Jewish Institute for the National Security of America","Washington, District of Columbia","Non-Profit","Member, Board of Advisors","2014-09-16","","1294","6155","jewish-institute-for-the-national-security-of-america",""
"1458","1276","8","U.S. Global Leadership Coalition","Washington, District of Columbia","Non-Profit","Member, National Security Advisory Council","2012-11-15","","1294","478","u-s-global-leadership-coalition",""
"1460","1276","10","Country Place Citizens Association","Potomac, Maryland","Non-Profit","Chair, Covenants Committee","2012-02-15","","1294","6157","country-place-citizens-association",""
"3836","680","201","Pier Village II Urban Renewal Company LLC","New York, New York","Limited Liability Company","Springing Member","2014-12-16","2017-01-16","693","7436","pier-village-ii-urban-renewal-company-llc",""
"1464","1277","1","Family Trust #1","Chevy Chase, Maryland","Trust","Trustee","2010-08-16","","1295","6159","family-trust-1_hide-e08dad65-7720-4fe2-8a84-65358dd7eff7",""
"1465","1278","1","Fifth Third Bank","Cincinnati, Ohio","Corporation","Executive Vice President, Chief Legal Officer and Corporate Secretary","2017-01-16","","1296","1457","fifth-third-bank",""
"1466","1279","1","Consumer Federation of America","Washington, District of Columbia","Non-Profit","Senior Fellow","2017-01-16","","1297","1458","consumer-federation-of-america",""
"1467","1279","2","Roosevelt Institute","New York, New York","Non-Profit","Visiting Fellow","2017-03-16","","1297","1459","roosevelt-institute",""
"1468","1279","3","Clinton-Kaine Transition Fund","Washington, District of Columbia","See endnote","Policy Planning Adviser","2016-08-16","2016-11-15","1297","1460","clinton-kaine-transition-fund","Entity established pursuant to the Pre-Election Presidential Transition Act of 2010."
"1469","1279","4","Ford Foundation","New York, New York","Non-Profit","Consultant","2017-05-16","2017-09-16","1297","1462","ford-foundation",""
"1470","1279","5","Colorado Office of the Attorney General","Denver, Colorado","Government","Consultant","2017-04-16","2017-10-16","1297","1461","colorado-office-of-the-attorney-general",""
"1471","1279","6","Gerson Lehrman Group","New York, New York","Corporation","Consultant","2016-11-15","2017-09-16","1297","329","gerson-lehrman-group",""
"1473","1281","1","The CM Group (Scrapbooking Company)","Arlington, Virginia","Corporation","Creative Memories Advisor","2014-10-16","","1299","6161","the-cm-group-scrapbooking-company",""
"1474","1281","2","Future With Hope Women, LLC","Arlington, Virginia","Limited Liability Corporation","Member","2015-10-16","","1299","6162","future-with-hope-women-llc",""
"1475","1282","1","UnitedAG","Irvine, California","Non-Profit","Consultant","2013-01-16","2017-07-16","1300","1463","unitedag",""
"1476","1282","2","BioSI","Argyle, Texas","Corporation","Consultant","2013-05-16","","1300","1464","biosi",""
"1477","1282","3","Stoker Family Trust","Santa Barbara, California","Trust","Trustee","2004-04-16","","1300","6163","stoker-family-trust",""
"1478","1282","4","The Law Offices of Mike Stoker","Carpinteria, California","Solo Legal Practice","Solo Practitioner","1980-12-16","","1300","6164","the-law-offices-of-mike-stoker","My sole practice is not engaged in any business and I have not represented any clients during the reporting period."
"1479","1284","1","Health Science and Biosecurity Partners, LLC","College Station, Texas","Corporation","CEO","2015-12-16","","1302","1467","health-science-and-biosecurity-partners-llc","This entity is sole proprietorship and the vehicle for consulting activities of Dr. Giroir."
"1480","1284","2","Texas A&M University Health Science Center","Bryan, Texas","University/Colle ge","Executive VP and CEO","2013-10-16","2015-06-16","1302","1465","texas-a-m-university-health-science-center","Also Professor in Colleges of Medicine and Engineering."
"1482","1284","4","Baylor College of Medicine","Houston, Texas","University/Colle ge","Adjunct Professor","2015-07-16","","1302","6165","baylor-college-of-medicine",""
"1483","1284","5","Esperance Pharmaceuticals, Inc.","Houston, Texas","Corporation","Board Member","2016-02-15","","1302","1470","esperance-pharmaceuticals-inc",""
"1484","1284","6","NonInvasix, Inc.","Houston, Texas","Corporation","Scientific Advisory Board","2016-04-16","","1302","1477","noninvasix-inc",""
"1485","1284","7","BrainCheck, Inc.","Houston, Texas","Corporation","Scientific Advisory Board","2015-07-16","","1302","1478","braincheck-inc",""
"1486","1284","8","ViraCyte, LLC","New Brighton, Minnesota","Corporation","Consultant CEO","2016-10-16","","1302","1468","viracyte-llc",""
"1487","1284","9","University of Texas MD Anderson Cancer Center","Houston, Texas","University/Colle ge","Scientific Advisory Board","2016-04-16","","1302","223","university-of-texas",""
"1488","1284","10","University of Michigan A. Alfred Taubman Medical Research Institute","Ann Arbor, Michigan","University/Colle ge","Scientific Advisory Board","2016-04-16","","1302","54","university-of-michigan",""
"1489","1284","11","BioHouston","Houston, Texas","Non-Profit","Board Member","2009-11-15","","1302","6166","biohouston",""
"1490","1285","1","Locke Lord LLP","Austin, Texas","Law Firm","Partner","2016-07-16","","1303","1479","locke-lord-llp",""
"1491","1285","2","City of Houston, Texas","Houston, Texas","Municipality","Director of Housing & Community Development Department","2012-01-16","2016-06-16","1303","1480","city-of-houston-texas",""
"1492","1285","3","Houston Housing Finance Corporation","Houston, Texas","Public Instrumentality and Non-profit Corporation","Member, Board of Directors","2012-01-16","2016-06-16","1303","6167","houston-housing-finance-corporation",""
"1494","1286","1","RPK Consulting LLC","Alexandria, Virginia","Limited Liability Consulting Compnay","Managing Director","2011-09-16","","1304","6169","rpk-consulting-llc","This LLC became inactive with my return to Federal Service."
"1495","1286","2","John Hopkins Center for Health Security","Baltimore, Maryland","University/Colle ge","Editorial Board Reviewer","2009-01-16","","1304","6170","john-hopkins-center-for-health-security","Non-paid occasional reviewer of academic and scholarly draft journal articles for pre-publication review."
"1496","1286","3","John Hopkins Center for Health Security","Baltimore, Maryland","University/Colle ge","Steering Committee Member","2011-01-16","","1304","6170","john-hopkins-center-for-health-security",""
"1497","1287","1","Dechert LLP","Washington, District of Columbia","Law Firm","Partner","2009-05-16","","1305","449","dechert-llp",""
"1498","1287","2","S.E. 2012 Family Trust 1","New York, New York","Trust","Co-Trustee","2012-12-16","","1305","6171","s-e-2012-family-trust-1",""
"1499","1287","3","Family Trust 2","New York, New York","Trust","Co-trustee","2012-12-16","","1305","6172","family-trust-2_hide-1a2c34de-b62f-42b7-a45e-f522d619a8a4",""
"1501","1289","2","Metropolitan Water District of Southern California","Sacramento, California","political subdivision under laws of the State of California","Special Projects Manager","2011-06-16","2015-09-16","1307","6173","metropolitan-water-district-of-southern-california",""
"1502","1289","3","Salt River Project Agricultural Improvement and Power District","Tempe, Arizona","municipal corporation and political subdivision under laws of the State of Arizona","Executive Water Policy Advisor","2015-09-16","2016-04-16","1307","1511","salt-river-project",""
"1503","1290","1","Doorways for Women and Families","Arlington, Virginia","Non-Profit","Member, Board of Directors","2013-09-16","","1308","6174","doorways-for-women-and-families",""
"4859","242","5","Insperity (Presidential Transition)","Washington, DC","Non-Profit","Advisor","2019-11-16","2020-01-17","247","4562","insperity-presidential-transition",""
"1505","1290","3","U.S. Chamber Litigation Center","Washington, District of Columbia","Non-Profit","Senior Advisor","2014-09-16","2016-08-16","1308","1514","u-s-chamber-litigation-center",""
"1506","1290","4","George Mason University Antonin Scalia Law School","Arlington, Virginia","University/Colle ge","Consultant","2016-10-16","2016-12-16","1308","1513","george-mason-university",""
"1507","1290","5","George Mason University Antonin Scalia Law School","Arlington, Virginia","University/Colle ge","Associate Professor of Law","2017-01-16","","1308","1513","george-mason-university",""
"1508","1290","6","Brand Consulting, LLC","McLean, Virginia","Corporation","Owner","2014-10-16","2015-10-16","1308","6176","brand-consulting-llc","This LLC was dissolved in October 2015."
"1509","1292","1","Jones Day","Washington, D.C., District of Columbia","Law Firm","Partner","2008-07-16","","1310","903","jones-day",""
"1511","1293","1","The Boeing Company","Arlington, Virginia","Corporation","Vice President & Asst General Counsel","2011-04-16","","1311","47","boeing-company",""
"1512","1293","2","Georgetown Law Center","Washington, District of Columbia","University/Colle ge","Adjunct Professor","2010-01-16","","1311","6177","georgetown-law-center","One course every Spring semester"
"1513","1293","3","F. & G. Family Irrevocable Trust","Essex County, New Jersey","Trust","Trustee","2013-01-16","","1311","6178","f-g-family-irrevocable-trust",""
"1514","1293","4","Family Revocable Trust 1","Arlington, Virginia","Trust","Trustee","2013-03-16","","1311","6179","family-revocable-trust-1",""
"1515","1293","5","Paulding LLC","Alexandria, Virginia","LLC","Agent","2013-07-16","","1311","6180","paulding-llc","Resigned agent position in August 2017 prior to nomination."
"1516","1294","1","Adjusters International","Utica, New York","Corporation","Senior Vice President","2016-04-16","","1312","1544","adjusters-international",""
"1518","1294","3","Disaster Recovery Coalition of America","Washington, District of Columbia","Non-Profit","Chairman of the Board","2008-11-15","","1312","6181","disaster-recovery-coalition-of-america",""
"1519","1294","4","University of Maryland system","Adelphia, Maryland","University/Colle ge","Assistant Adjunct Professor","2011-02-15","","1312","1113","university-of-maryland",""
"1520","1294","5","GLG Research","Washington, District of Columbia","Corporation","Individual Consultant","2010-09-16","2017-05-16","1312","6182","glg-research",""
"1521","1295","1","50CAN, Inc.","Washington, District of Columbia","Non-Profit","Director, Student Success California","2016-07-16","","1313","1551","50can-inc",""
"1522","1295","2","StudentsFirst","Sacramento, California","Non-Profit","President","2014-12-16","2016-06-16","1313","1552","studentsfirst",""
"1523","1295","3","Carole S Randolph, DDS, MS, Inc.","Valencia, California","Corporation","Business Manager","1996-06-16","","1313","1553","carole-s-randolph-dds-ms-inc",""
"1524","1295","4","Revocable Living Trust","Valencia, California","Trust","Trustee","1999-11-16","","1313","6183","revocable-living-trust_hide-71fc3260-e30c-4fee-afa8-cf07d2298c48",""
"1526","1295","6","National Charter Collaborative","Washington, District of Columbia","Non-Profit","Member, Board of Directors","2017-05-16","","1313","6185","national-charter-collaborative",""
"1527","1297","1","Bradley Arant Boult Cummings LLP","Birmingham, Alabama","Law Firm","Partner","1989-05-16","","1315","1554","bradley-arant-boult-cummings-llp",""
"1528","1297","2","Brother Bryan Mission","Birmingham, Alabama","Non-Profit","Director","2017-01-16","","1315","6186","brother-bryan-mission",""
"1529","1297","3","Truman Scholars Association","Washington, District of Columbia","Non-Profit","Director","2015-11-15","","1315","6187","truman-scholars-association",""
"1530","1298","1","One Star Foundation","Austin, Texas","Non-Profit","Board Member","2011-09-16","","1316","6188","one-star-foundation",""
"1532","1299","1","PA State System of Higher Education","Harrisburg, Pennsylvania","State Government","Chancellor","2013-10-16","2017-09-16","1317","6190","pa-state-system-of-higher-education","I will retire from this position on Sept. 1, 2017"
"1533","13","1","James Renne, Esq., P.A.","Topeka, Kansas","Solo Legal Practice","President","1998-01-16","","13","6191","james-renne-esq-p-a",""
"1534","13","2","Velocity Communications","Columbia Falls, Montana","Corporation","Board Member","2017-05-16","","13","6192","velocity-communications",""
"1535","1300","1","Mortgage Bankers Association","Washington, District of Columbia","Corporation","Associate Vice President","2008-11-15","2017-07-16","1318","924","mortgage-bankers-association",""
"1536","1301","1","Junior Achievement Worldwide","Boston, Massachusetts","Non-Profit","Member, Board of Directors","2014-12-16","","1319","6193","junior-achievement-worldwide",""
"1537","1303","1","Interval Ventures, sole proprietorship","Miami, Florida","Consulting firm","Managing Director","2016-05-16","","1321","1595","interval-ventures",""
"1539","1303","3","Miami Finance Forum","Miami Beach, Florida","Non-Profit","Member, Board of Directors","2014-02-15","2017-09-16","1321","6194","miami-finance-forum",""
"1540","1306","1","Texas Wildlife Association","San Antonio, Texas","Non-Profit","Director","1989-01-16","","1324","6195","texas-wildlife-association",""
"1541","1306","2","Texas Aspires (formerly Texas Institute for Education Reform)","Austin, Texas","Non-Profit","Vice Chair and Director","2015-05-16","2017-03-16","1324","6196","texas-aspires-formerly-texas-institute-for-education-reform",""
"1542","1306","3","It's Time Texas","Austin, Texas","Non-Profit","Director","2016-05-16","2017-03-16","1324","6197","it-s-time-texas",""
"1543","1306","4","The Anywhere Woman Project","Austin, Texas","Non-Profit","President and Director","2016-05-16","","1324","6198","the-anywhere-woman-project",""
"1545","1306","6","Texas Public Policy Foundation","Austin, Texas","Non-Profit","Visiting Senior Fellow","2015-03-16","","1324","114","texas-public-policy-foundation",""
"1546","1306","7","University of Texas Center for Identity","Austin, Texas","Non-Profit","Fellow","2015-02-15","","1324","223","university-of-texas",""
"1547","1306","8","Texas State History Museum Foundation","Austin, Texas","Non-Profit","Board Member","2011-01-16","2016-08-16","1324","6200","texas-state-history-museum-foundation",""
"1548","1306","9","Family Trust 2","Austin, Texas","Trust","Trustee","1984-01-16","","1324","6201","family-trust-2_hide-ce9fc186-6485-4e61-84af-314dfa5415be",""
"1550","1307","2","Native Care Health, LLC","Miami, Oklahoma","Corporation","President","2011-09-16","","1325","1600","native-care-health-llc",""
"1551","1307","3","MedCase, LLC","Miami, Oklahoma","Corporation","President","2012-01-16","","1325","1603","medcase-llc",""
"1554","1307","6","Family Revocable Living Trust #1","St. Louis, Missouri","Trust","Trustee","2013-10-16","","1325","6202","family-revocable-living-trust-1",""
"1555","1307","7","Family Revocable Living Trust #2","St. Louis, Missouri","Trust","Trustee","2013-11-15","","1325","6203","family-revocable-living-trust-2",""
"1557","1307","9","Family Revocable Living Trust #4","Miami, Oklahoma","Trust","Trustee","2003-08-16","","1325","6205","family-revocable-living-trust-4",""
"1558","1307","10","Family Revocable Living Trust #5","St. Louis, Missouri","Trust","Trustee","2013-12-16","","1325","6206","family-revocable-living-trust-5","Holdings are below reporting thresholds."
"1559","1307","11","Quapaw Tribe of Oklahoma","Quapaw, Oklahoma","Indian Tribe","Consultative Representative","2011-02-15","","1325","6207","quapaw-tribe-of-oklahoma",""
"1561","1307","13","Claremore Indian Hospital","Claremore, Oklahoma","Indian Health Service Hospital","Advisory Board Member","2013-07-16","","1325","6209","claremore-indian-hospital","The start date month entered for this position is my best estimate."
"1562","1307","14","Grove Oklahoma Public School System - Johnson-O'Malley Program - Parent Committee","Grove, Oklahoma","Public School System","Vice President","2016-08-16","","1325","6210","grove-oklahoma-public-school-system",""
"1563","1307","15","Grove Oklahoma Public School System - Title VI Program - Indian Education Committee","Grove, Oklahoma","Public School System","Vice President","2016-08-16","","1325","6210","grove-oklahoma-public-school-system",""
"1564","1308","1","University of Minnesota","Minneapolis, Minnesota","University/Colle ge","Professor and Associate Dean","2014-07-16","","1326","1604","university-of-minnesota",""
"1566","1308","3","Health Care Cost Institute","Washington DC, District of Columbia","Non-Profit","Chair of Governing Board","2013-10-16","","1326","6211","health-care-cost-institute",""
"1567","1308","4","Academy Health","Washington, DC, District of Columbia","Non-Profit","Board Member","2014-12-16","","1326","6212","academy-health",""
"1568","1308","5","Emeriti Retirement Health","New York, New York","Non-Profit","Board of Trustees","2014-12-16","","1326","6213","emeriti-retirement-health",""
"1569","1308","6","Fortel Analytics LLC (Health Informaon Technology and Analytics)","Maple Grove, Minnesota","LLC","Board Member","2009-09-16","","1326","6214","fortel-analytics-llc-health-informaon-technology-and-analytics",""
"1571","1308","8","Congressional Budget Office Panel of Health Advisors","Washington, District of Columbia","Congressional Office","Health Adviser","2016-02-15","","1326","6216","congressional-budget-office-panel-of-health-advisors",""
"1572","1308","9","Center for Health and Economy","Washington, District of Columbia","Research Organization","Board Member","2013-01-16","","1326","6217","center-for-health-and-economy",""
"1573","1308","10","Johns Hopkins University","Baltimore, Maryland","University/Colle ge","Adjunct Professor","1995-01-16","","1326","59","johns-hopkins-university",""
"1574","1308","11","American Enterprise Institute","Washington, District of Columbia","Non-Profit","Adjunct Scholar","2006-07-16","","1326","1256","american-enterprise-institute",""
"1576","1309","1","State of Rhode Island","Cranston, Rhode Island","State Government","Chief Medical Officer","2015-12-16","","1327","1616","state-of-rhode-island",""
"1577","1309","2","Applied Management Systems","Cranston, Rhode Island","Corporation","Consultant","2015-10-16","2015-12-16","1327","1617","applied-management-systems",""
"1578","1309","3","Brown University","Providence, Rhode Island","University/Colle ge","Unpaid Faculty","2016-07-16","","1327","6219","brown-university",""
"1579","1309","4","State of Connecticut (Connecticut Medical Examining Board)","Hartford, Connecticut","State Government","Consultant","2015-07-16","","1327","6220","state-of-connecticut-connecticut-medical-examining-board",""
"1580","1309","5","AlphaSights","New York, New York","Corporation","Consultant","2016-01-16","2017-02-15","1327","6221","alphasights",""
"1581","1309","6","Scarritt Group/Indivior","Oro Valley, Arizona","Corporation","Consultant","2015-12-16","2015-12-16","1327","6222","scarritt-group-indivior",""
"1582","1309","7","MES Solutions","Woburn, Massachusetts","Corporation","Consultant","2015-08-16","2015-10-16","1327","6223","mes-solutions",""
"1583","1309","8","PCM Scientific","London, Outside U.S.","Continuing Medical Education Provider","Article Editor","2015-08-16","2015-12-16","1327","6224","pcm-scientific",""
"1584","1309","9","Family Trust (Irrevocable)","Gales Ferry, Connecticut","Trust","Trustee","2014-12-16","","1327","6225","family-trust-irrevocable",""
"1585","1310","1","Melaleuca, Inc.","Idaho Falls, Idaho","Corporation","General Counsel","2009-10-16","","1328","1619","melaleuca-inc",""
"1587","1310","3","Melaleuca Export, Inc.","Las Vegas, Nevada","Corporation","Secretary and Director","2010-09-16","","1328","6227","melaleuca-export-inc",""
"1588","1310","4","Melaleuca of Canada and Japan Export, Inc.","Las Vegas, Nevada","Corporation","Secretary and Director","2010-09-16","","1328","6228","melaleuca-of-canada-and-japan-export-inc",""
"1589","1310","5","Melaleuca of Asia Export, Inc.","Las Vegas, Nevada","Corporation","Secretary and Director","2010-09-16","","1328","6229","melaleuca-of-asia-export-inc",""
"1591","1310","7","Melaleuca, Inc.","Idaho Falls, Idaho","Corporation","Assistant Secretary","2013-03-16","","1328","1619","melaleuca-inc",""
"1592","1310","8","Melaleuca of Australia Export, Inc.","Las Vegas, Nevada","Corporation","Secretary and Director","2012-01-16","","1328","6231","melaleuca-of-australia-export-inc",""
"1593","1310","9","Melaleuca of Europe (Germany) GmbH","Munich, Outside U.S.","Corporation","Managing Director","2011-10-16","","1328","6232","melaleuca-of-europe-germany-gmbh",""
"1594","1310","10","Melaleuca of Mexico Distribution, Inc.","Idaho Falls, Idaho","Corporation","Assistant Secretary","2013-06-16","","1328","6233","melaleuca-of-mexico-distribution-inc",""
"1595","1310","11","Melaleuca of Mexico Distribution Holdings, Inc.","Idaho Falls, Idaho","Corporation","Secretary","2013-06-16","","1328","6234","melaleuca-of-mexico-distribution-holdings-inc",""
"1597","1310","13","Gem State Utility Development Group, LLC","Idaho Falls, Idaho","Corporation","Member of Board of Managers","2013-07-16","","1328","6236","gem-state-utility-development-group-llc",""
"1598","1310","14","American Bar Association Section of Administrative Law and Regulatory Practice","Washington, District of Columbia","Non-Profit","Council Member","2015-03-16","","1328","5271","american-bar-association",""
"1599","1310","15","Palmer Green, LLC","Idaho Falls, Idaho","Corporation","Managing Member","2005-08-16","","1328","6237","palmer-green-llc",""
"3842","680","207","Riverhead Sound Building Corp.","Florham Park, New Jersey","Corporation","Executive Vice President & Authorized Signatory","2007-02-15","2017-01-16","693","7442","riverhead-sound-building-corp",""
"1602","1311","3","Montclair State University- School of Business","Montclair, New Jersey","University/Colle ge","Advisory Board Member","2014-01-16","","1329","6240","montclair-state-university-school-of-business",""
"1603","1311","4","Ernst & Young","Chicago, Illinois","Corporation","Partner","1981-08-16","2017-06-16","1329","1150","ernst-young-llp",""
"1604","1311","5","Revocable Family Trust #1","New Albany, Ohio","Trust","Trustee","2013-08-16","","1329","6241","revocable-family-trust-1_hide-f141f28d-a096-460c-8bfe-a3eff7eddaec",""
"1606","1313","1","AIR Worldwide","Boston, Massachusetts","Corporation","Vice President, Global Resilience","2016-07-16","","1331","1625","air-worldwide",""
"1607","1313","2","George Washington University","Washington, District of Columbia","University/Colle ge","Senior Fellow, Center for Cyber & Homeland Security","2014-07-16","","1331","216","george-washington-university",""
"1608","1313","3","Georgetown University","Washington, District of Columbia","University/Colle ge","Adjunct Assistant Professor","2013-01-16","2016-05-16","1331","67","georgetown-university",""
"1609","1313","4","ANSER","Falls Church, Virginia","Non-Profit","Mission Area Director, Resilience & Emergency Preparedness/R esponse","2012-11-15","2016-07-16","1331","116","anser",""
"1610","1314","1","Elaine Duke & Associates, LLC","Woodbridge, Virginia","Limited Liability Corporation","Principal/Owner","2010-04-16","","1332","1634","elaine-duke-associates-llc",""
"1611","1314","2","Anser","Arlington, Virginia","Non-Profit","Board of Directors","2016-03-16","","1332","116","anser",""
"1613","1314","4","Family Revocable Trust #2","Prince William County, Virginia","Trust","Co-Trustee","2010-05-16","","1332","6244","family-revocable-trust-2_hide-5f9551fa-f17e-42f9-b637-a0c5c3a6b2c1",""
"1614","1314","5","Homeland Security Studies & Analysis Institute","Arlington, Virginia","Non-Profit","Distinguished Visiting Fellow","2011-01-16","2016-10-16","1332","1629","homeland-security-studies-analysis-institute",""
"1616","1314","7","Government Technology and Services Coalition","Oakton, Virginia","Non-Profit","Strategic Advisor","2015-04-16","2017-01-16","1332","6246","government-technology-and-services-coalition",""
"1617","1315","1","The Heritage Foundation","Washington, District of Columbia","Non-Profit","Senior Vice President, General Counsel, and Secretary","2014-03-16","","1333","73","the-heritage-foundation",""
"1618","1315","2","Merton College Charitable Corporation","Manasquan, New Jersey","Non-Profit","Trustee","2012-04-16","","1333","6247","merton-college-charitable-corporation",""
"1619","1315","3","Valaurum, Inc.","Portland, Oregon","Corporation","Director","2016-03-16","","1333","1636","valaurum-inc",""
"1620","1315","4","Southeast Property Development Corporation","Atlanta, Georgia","Corporation","Director, CEO, President, Secretary, CFO","1990-01-16","","1333","6248","southeast-property-development-corporation",""
"1621","1315","5","Team Baseballs, Inc.","McLean, Virginia","Corporation","Director, President","2010-09-16","","1333","6249","team-baseballs-inc",""
"1623","1315","7","Valaurum, Inc.","Portland, Oregon","Corporation","Member, Board of Advisors","2015-07-16","2016-03-16","1333","1636","valaurum-inc",""
"1624","1315","8","Rosedale Manor Associates, L.L.P.","Morris County, New Jersey","LLP","Partner","2002-02-15","","1333","1635","rosedale-manor-associates-llp",""
"1625","1316","1","Battelle Memorial Institute","Pittsburgh, Pennsylvania","Non-Profit","Senior Program Manager","2014-05-16","","1334","1637","battelle-memorial-institute",""
"1627","1316","3","Pennsylvania Department of Environmental Protection, Climate Change Advisory Committee (uncompensated)","Harrisburg, Pennsylvania","Advisory Committee","Appointed Member","2014-11-15","","1334","6252","pennsylvania-department-of-environmental-protection-climate-change-advisory-committee-uncompensated",""
"1628","1316","4","Marcellus Shale Coalition (uncompensated)","Pittsburgh, Pennsylvania","Trade Union","Member","2010-06-16","","1334","6253","marcellus-shale-coalition-uncompensated",""
"1630","1317","1","Estate of a Family Member","Alexandria, Virginia","Estate","Executor","2016-11-15","","1335","6255","estate-of-a-family-member",""
"1632","1318","2","American Bar Association","Chicago, Illinois","Voluntary professional organization that provides educational and other opportunities for attorneys","Co-Chair, Communication s Committee, Administrative Law and Regulatory Practice Section","2014-02-15","2015-02-15","1336","5271","american-bar-association",""
"1633","1319","1","JPMorgan","New York, New York","Corporation","Managing Director","1996-08-16","","1337","327","jpmorgan-chase-co",""
"1634","1319","2","Cross Relief Fund","Nantucket, Massachusetts","Non-Profit","President","2015-09-16","2017-05-16","1337","6257","cross-relief-fund",""
"1635","1319","3","Dabbar Family 2015 Residential Trust Agreement","Scarsdale, New York","Trust","Trustee","2015-09-16","","1337","6258","dabbar-family-2015-residential-trust-agreement",""
"1636","1320","1","South Carolina Department of Education","Columbia, South Carolina","State Government","State Superintendent of Education","2011-01-16","2015-01-16","1338","806","south-carolina-department-of-education",""
"1637","1320","2","University of South Carolina","Columbia, South Carolina","University/Colle ge","Trustee","2011-01-16","2015-01-16","1338","6259","university-of-south-carolina",""
"1638","1320","3","The Citadel","Charleston, South Carolina","University/Colle ge","Trustee","2011-01-16","2015-01-16","1338","6260","the-citadel",""
"1639","1320","4","Winthrop University","Rock Hill, South Carolina","University/Colle ge","Trustee","2013-06-16","2015-01-16","1338","6261","winthrop-university",""
"1640","1320","5","South Carolina Educational Television","Columbia, South Carolina","Non-Profit","Director","2011-01-16","2015-01-16","1338","6262","south-carolina-educational-television",""
"1641","1320","6","South Carolina Chamber of Commerce","Columbia, South Carolina","Non-Profit","Director","2013-02-15","2015-01-16","1338","6082","south-carolina-chamber-of-commerce",""
"1642","1320","7","American Philatelic Society","Bellefonte, Pennsylvania","Non-Profit","Director","2013-08-16","","1338","6263","american-philatelic-society",""
"1643","1320","8","Celebrate Freedom Foundation","Columbia, South Carolina","Non-Profit","Director","2016-02-15","","1338","6264","celebrate-freedom-foundation",""
"1644","1320","9","Collegiate Counsel, Inc","Atlanta, Georgia","Corporation","Senior Consultant","2017-02-15","","1338","6265","collegiate-counsel-inc",""
"1737","1345","1","Faegre Baker Daniels LLP","Washington, D.C., District of Columbia","Law Firm","Principal","2009-01-16","","1363","1761","faegre-baker-daniels-llp",""
"1646","1320","11","Gertz and Moore, LLP","Columbia, South Carolina","Law Firm","Expert Witness","2016-01-16","2016-08-16","1338","6267","gertz-and-moore-llp",""
"1648","1320","13","Southern Regional Education Board","Atlanta, Georgia","Non-Profit","Board Member","2004-06-16","2017-03-16","1338","6269","southern-regional-education-board",""
"1649","1321","1","Hunton & Williams LLP","Washington, District of Columbia","Law Firm","partner","2007-09-16","","1339","829","hunton-williams-llp",""
"1650","1322","1","The Louis D. Brandeis Center, Inc.","Washington, District of Columbia","Non-Profit","President & General Counsel","2011-08-16","","1340","1674","the-louis-d-brandeis-center-inc",""
"1652","1322","3","Journal for the Study of Antisemitism","Albuquerque, New Mexico","Non-Profit","Associate Editor; Editorial Board Member","2010-03-16","","1340","6271","journal-for-the-study-of-antisemitism",""
"1653","1323","1","Republic Foods, Inc.","Rockville, Maryland","Corporation","Director","2011-08-16","","1341","1675","republic-foods-inc",""
