id,slug,agency_slug,position_title_1,position_title_2,position_title_3,staffer_id,start_date,end_date,agency_id,grade_level,linkedin_url,organization_name,organization_type,position_held,from_date,to_date,organization_slug
916,stephen-b-king,state,"Ambassador, Czech Republic",,,1606,2017-10-05,,4,,,Boy Scouts of America - Central Region,Non-Profit,Vice-President,2012-05-16,,boy-scouts-of-america
918,stephen-b-king,state,"Ambassador, Czech Republic",,,1606,2017-10-05,,4,,,"King Capital JJC Hangar, LLC",Partnership,Managing Partner,2006-09-16,,king-capital-jjc-hangar-llc
919,stephen-b-king,state,"Ambassador, Czech Republic",,,1606,2017-10-05,,4,,,3 Wire LLC d/b/a Janesville Jet Center,Partnership,Managing Partner,2009-01-16,,3-wire-llc-d-b-a-janesville-jet-center
920,stephen-b-king,state,"Ambassador, Czech Republic",,,1606,2017-10-05,,4,,,King Holdings LLC,Partnership,Managing Partner,2003-12-16,,king-holdings-llc
921,stephen-b-king,state,"Ambassador, Czech Republic",,,1606,2017-10-05,,4,,,Data Trust (political data collection/recovery),Virginia Business Trust,Chairman of the Board of Trustees,2013-10-16,,data-trust-political-data-collection-recovery
923,william-francis-hagerty-iv,state,"Ambassador, Japan",,,1607,2017-07-13,,4,,,State of Tennessee,State Government,"Cabinet Member, Commissioner of Economic and Community Development",2011-01-16,2015-01-16,state-of-tennessee
924,william-francis-hagerty-iv,state,"Ambassador, Japan",,,1607,2017-07-13,,4,,,Hagerty Consulting,Sole Proprietorship,Proprietor,2002-01-16,,hagerty-consulting-inc
925,william-francis-hagerty-iv,state,"Ambassador, Japan",,,1607,2017-07-13,,4,,,RenaissanceRe Holdings Ltd.,Corporation,Director,2015-05-16,,renaissancere-holdings-ltd
926,william-francis-hagerty-iv,state,"Ambassador, Japan",,,1607,2017-07-13,,4,,,Pinnacle Financial Partners,Corporation,Director,2015-07-16,,pinnacle-financial-partners
927,william-francis-hagerty-iv,state,"Ambassador, Japan",,,1607,2017-07-13,,4,,,"Rogers Group, Inc.",Corporation,Director,2015-03-16,,rogers-group-inc
928,william-francis-hagerty-iv,state,"Ambassador, Japan",,,1607,2017-07-13,,4,,,"R.J. O'Brien & Associates, LLC",Corporation,Director,2010-12-16,,r-j-o-brien-associates-llc
929,william-francis-hagerty-iv,state,"Ambassador, Japan",,,1607,2017-07-13,,4,,,"Ryman Hospitality Properties, Inc.",Corporation,Director,2016-02-15,,ryman-hospitality-properties-inc
930,william-francis-hagerty-iv,state,"Ambassador, Japan",,,1607,2017-07-13,,4,,,Boy Scouts of America,Non-Profit,Director - Noncompensat ed,2011-05-16,,boy-scouts-of-america
932,william-francis-hagerty-iv,state,"Ambassador, Japan",,,1607,2017-07-13,,4,,,Main Street Management,Management Company (and 5% owner) for Roundstone Ventures,President/Sole Owner/No Salary,2001-01-16,,main-street-management
934,william-francis-hagerty-iv,state,"Ambassador, Japan",,,1607,2017-07-13,,4,,,Hall Capital,Corporation,Advisor/Non- compensated,2016-08-16,,hall-capital
935,william-francis-hagerty-iv,state,"Ambassador, Japan",,,1607,2017-07-13,,4,,,Nashville MLS Organizing Committee,Organizing Committee,"Co-founder, Non- compensated",2016-08-16,,nashville-mls-organizing-committee
936,william-francis-hagerty-iv,state,"Ambassador, Japan",,,1607,2017-07-13,,4,,,William F. Hagerty Revocable Living Trust,Trust,Trustee,2003-08-16,,william-f-hagerty-revocable-living-trust
937,william-francis-hagerty-iv,state,"Ambassador, Japan",,,1607,2017-07-13,,4,,,Avondale Partners LLC (Boutique investment and advisory firm),LLC,Advisory Board/Non Compensated and Non- Fiduciary,2015-12-16,,avondale-partners-llc-boutique-investment-and-advisory-firm
938,samuel-dale-brownback,state,Ambassador-at-large for International Religious Freedom,,,1608,2018-01-24,,4,,,Kansas,government,Governor,2011-01-16,,kansas
939,samuel-dale-brownback,state,Ambassador-at-large for International Religious Freedom,,,1608,2018-01-24,,4,,,SB Revocable Living Trust,Trust,Co-Trustee,2006-08-16,,sb-revocable-living-trust
940,samuel-dale-brownback,state,Ambassador-at-large for International Religious Freedom,,,1608,2018-01-24,,4,,,MSB  Revocable Living Trust,Trust,Co-Trustee,2006-08-16,,msb-revocable-living-trust
941,george-edward-glass,state,"Ambassador, Portugal",,,1610,2017-08-03,,4,,,Pacific Crest Securities,Corporation,"President, Vice Chairman",1984-04-15,2015-01-16,pacific-crest-securities
942,george-edward-glass,state,"Ambassador, Portugal",,,1610,2017-08-03,,4,,,MGG Development LLC,Corporation,"Owner, Managing Partner",2015-01-16,,mgg-development-llc
943,george-edward-glass,state,"Ambassador, Portugal",,,1610,2017-08-03,,4,,,Oregon Health Science University,University/Colle ge,Board of Trustees,2015-05-16,,oregon-health-science-university
944,george-edward-glass,state,"Ambassador, Portugal",,,1610,2017-08-03,,4,,,The Iconographic Arts Institute,Non-Profit,"Member, Board of Directors",2016-06-16,,the-iconographic-arts-institute
945,george-edward-glass,state,"Ambassador, Portugal",,,1610,2017-08-03,,4,,,Berry Hill LLC,Real Estate Partnership,Co-lead Partner,2016-04-16,2017-03-16,berry-hill-llc
946,george-edward-glass,state,"Ambassador, Portugal",,,1610,2017-08-03,,4,,,George and Mary Glass Foundation,Non-Profit,President,2014-11-15,,george-and-mary-glass-foundation
947,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,MCrowd Restaurant Group,Corporation,Director,1991-01-16,,mcrowd-restaurant-group
948,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter Holdings Inc,Corporation,President,1990-01-16,,charter-holdings-inc
950,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,"Veritex Holdings, Inc",Corporation,Director,2008-01-16,,veritex-holdings-inc
951,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Highland Park Village Partners LP,Partnership,President,2010-07-16,,highland-park-village-partners-lp
952,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Washburne Family Trust,Trust,Trustee,1992-08-16,,washburne-family-trust
953,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Washburne Brother's Family Trust,Trust,Trustee,1992-08-16,,washburne-brother-s-family-trust
954,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,The Incline Trust,Trust,Trustee,2012-12-16,,the-incline-trust
955,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter 2700 Fairmount LP,Partnership,Managing Partner,2009-04-16,,charter-2700-fairmount-lp
956,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter 2700 Fairmount GP Inc,Corporation,president,2009-04-16,,charter-2700-fairmount-gp-inc
957,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,CHarter 2709 Berry LP,Partnership,Managing Partner,2011-12-16,,charter-2709-berry-lp
958,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,"Charter 2709 Berry GP, Inc.",Corporation,President,2011-12-16,,charter-2709-berry-gp-inc
959,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter Cleburne LP,Partnership,Managing Partner,2013-01-16,,charter-cleburne-lp
960,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter Cleburne GP Inc,Corporation,President,2013-01-16,,charter-cleburne-gp-inc
961,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter FL LP,partnership,Managing Partner,2010-01-16,,charter-fl-lp
2271,david-w-schnare,environmental-protection-agency,Senior Advisor,,,1162,2017-01-21,2017-03-18,67,"$179,700",,Free Market Environmental Law clinic,Non-Profit,Chairman of the Board and Director of the Clinic,2012-04-16,,free-market-environmental-law-clinic
963,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,CHarter FL 2 LP,partnership,Managing Partner,2012-04-16,,charter-fl-2-lp
964,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter FL 2 GP INc,Corporation,President,2012-04-16,,charter-fl-2-gp-inc
965,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter Freeport Partners LP,partnership,Managing Partner,2000-10-16,,charter-freeport-partners-lp
967,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter Hoyle LP,Partnership,Managing Partner,2007-12-16,,charter-hoyle-lp
968,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,"Charter Hoyle GP, INc",Corporation,President,2007-12-16,,charter-hoyle-gp-inc
969,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter Santa Anna Partners LP,partnership,Managing Partner,2004-05-16,,charter-santa-anna-partners-lp
970,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter Santa Anna Investments INc,Corporation,President,2004-05-16,,charter-santa-anna-investments-inc
971,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter Vapor LP,partnership,Managing Partner,2005-11-16,,charter-vapor-lp
972,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter Vapor GP Inc,Corporation,President,2004-11-16,,charter-vapor-gp-inc
974,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter Aeroplaza GP Inc,Corporation,President,2004-11-16,,charter-aeroplaza-gp-inc
975,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter 2904 Oak Lawn LP,Partnership,Managing Partner,2005-05-16,,charter-2904-oak-lawn-lp
976,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter 2904 Oak Lawn GP Inc.,Corporation,President,2005-05-16,,charter-2904-oak-lawn-gp-inc
977,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter ADL LP,partnership,Managing Partner,2007-09-16,,charter-adl-lp
978,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter Ventures GP Inc,Corporation,President,2007-09-16,,charter-ventures-gp-inc
980,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter Venture Partners GP Inc,Corporation,President,2006-10-16,,charter-venture-partners-gp-inc
981,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter Private Equity LP,partnership,Managing Partner,2002-03-16,,charter-private-equity-lp
982,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter Private Equity GP Inc,Corporation,President,2002-03-16,,charter-private-equity-gp-inc
983,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Parker PBM 46 LP,partnership,managing partner,2004-02-15,,parker-pbm-46-lp
985,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter Asset Management LP,partnership,managing partner,2003-11-16,,charter-asset-management-lp
986,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Huron Cascade Partners LP,partnership,managing partner,1999-09-16,,huron-cascade-partners-lp
987,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Huron Cascade Investments Inc,Corporation,President,1999-09-16,,huron-cascade-investments-inc
988,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Charter Hampton LP,partnership,managing partner,2007-04-16,,charter-hampton-lp
990,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Baylor Health Care System Foundation,Non-Profit,Board member,2013-06-16,,baylor-health-care-system-foundation
991,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Presidential Transition Team - Commerce Dept,Non-Profit,Agency Action Leader,2016-11-15,2017-02-15,trump-for-america-inc
992,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Petrosmith Equipment LP,Partnership,Director,2012-04-16,,petrosmith-equipment-lp
994,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Gillon Irrevocable Trust Child 2,Trust,Trustee,2011-05-16,,gillon-irrevocable-trust-child-2
995,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Gillon Irrevocable Trust Child 3,Trust,Trustee,2004-05-16,,gillon-irrevocable-trust-child-3
996,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Veritex Community Bank,Corporation,Director,2008-01-16,,veritex-community-bank
997,ray-washburne,overseas-private-investment-corporation,President and CEO,,,1612,2017-08-03,,65,,,Washburne MCrowd Trust,Trust,Trustee,2006-05-16,,washburne-mcrowd-trust
998,robert-frank-pence,state,"Ambassador, Finland",,,1614,,,4,,,"The Pence Group, Inc.",Corporation,Chairman of the Board,1984-04-15,,the-pence-group-inc
1000,robert-frank-pence,state,"Ambassador, Finland",,,1614,,,4,,,Brookfield-Beverly Road Associates Limited Partnership,Limited Partnership,General Partner,1988-07-16,,brookfield-beverly-road-associates-limited-partnership
1001,robert-frank-pence,state,"Ambassador, Finland",,,1614,,,4,,,"Chantilly Hotel, LLC",Limited Liability Company,Manager and Member,1998-01-16,,chantilly-hotel-llc
1002,robert-frank-pence,state,"Ambassador, Finland",,,1614,,,4,,,"Frankford Center, LLC",Limited Liability Company,Manager and Member,2012-09-16,,frankford-center-llc
1003,robert-frank-pence,state,"Ambassador, Finland",,,1614,,,4,,,"Dulles Expo, LLC",Limited Liability Company,Manager and Member,2001-05-16,,dulles-expo-llc
1005,robert-frank-pence,state,"Ambassador, Finland",,,1614,,,4,,,"Golden Brook, LLC",Limited Liability Company,Member and Manager,2004-09-16,,golden-brook-llc
1006,robert-frank-pence,state,"Ambassador, Finland",,,1614,,,4,,,"Grand Duke Hotels, LLC",Limited Liability Company,Manager and Member,1999-07-16,,grand-duke-hotels-llc
1007,robert-frank-pence,state,"Ambassador, Finland",,,1614,,,4,,,"McLean Hotel, LLC",Limited Liability Company,Manager and Member,1999-03-16,,mclean-hotel-llc
1008,robert-frank-pence,state,"Ambassador, Finland",,,1614,,,4,,,"Pence Properties, Inc.",Corporation,"President, Secretary and Shareholder",2008-05-16,2016-12-16,pence-properties-inc
1009,robert-frank-pence,state,"Ambassador, Finland",,,1614,,,4,,,"Reston Parkway Shopping Center, LLC",Limited Liability Company,Member and Manager,2015-11-15,,reston-parkway-shopping-center-llc
1010,robert-frank-pence,state,"Ambassador, Finland",,,1614,,,4,,,"Route 606-Reston, LLC",Limited Liability Company,Member and Manager,1976-08-16,,route-606-reston-llc
1012,robert-frank-pence,state,"Ambassador, Finland",,,1614,,,4,,,"Staunton-Beverly Road, LLC",Limited Liability Company,Member and Manager,2007-05-16,2016-12-16,staunton-beverly-road-llc
1013,robert-frank-pence,state,"Ambassador, Finland",,,1614,,,4,,,"Woodstream-610, LLC",Limited Liability Company,Member and Manager,2005-04-16,,woodstream-610-llc
1962,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,TRUMP CAROUSEL MEMBER CORP (pass- thru company for TRUMP CAROUSEL LLC (carousel operator)),Corporation,Vice President,2010-02-15,2017-01-16,trump-carousel-member-corp-pass-thru-company-for-trump-carousel-llc-carousel-operator
1963,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,TRUMP CHICAGO COMMERCIAL MEMBER CORP (pass-thru company for TRUMP CHICAGO COMMERCIAL MANAGER LLC (management company)),Corporation,Vice President,2010-07-16,2017-01-16,trump-chicago-commercial-member-corp-pass-thru-company-for-trump-chicago-commercial-manager-llc-management-company
1964,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,TRUMP CHICAGO COMMERCIAL MANAGER LLC (management company),Limited Liability Company,Vice President,2010-06-16,2017-01-16,trump-chicago-commercial-manager-llc-management-company
1016,robert-frank-pence,state,"Ambassador, Finland",,,1614,,,4,,,Edwards Ferry-Beverly Road Associates Limited Partnership,Limited Partnership,General Partner,1994-03-16,,edwards-ferry-beverly-road-associates-limited-partnership
1017,robert-frank-pence,state,"Ambassador, Finland",,,1614,,,4,,,Wolf Trap Foundation,Non-Profit,Board of Directors and Committee Chair,2008-02-15,2017-02-15,wolf-trap-foundation
1018,robert-frank-pence,state,"Ambassador, Finland",,,1614,,,4,,,Gary Sinise Foundation,Non-Profit,Board of Directors,2014-12-16,,gary-sinise-foundation
1020,robert-frank-pence,state,"Ambassador, Finland",,,1614,,,4,,,George Mason University,University/Colle ge,Board of Visitors,2012-07-16,2016-06-16,george-mason-university
1021,robert-frank-pence,state,"Ambassador, Finland",,,1614,,,4,,,Washington Harbour Unit Owner's Condominium Association,Non-Profit,Board Member and Secretary,2016-04-16,,washington-harbour-unit-owner-s-condominium-association
1022,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,"Ironhill Investments, LLC",Corporation,Managing Partner,2017-01-16,,ironhill-investments-llc
1023,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,Kohlberg Kravis Roberts,Corporation,Senior Advisor,2009-02-15,2015-04-16,kohlberg-kravis-roberts-co
1024,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,American Enterprise Institute,Non-Profit,National Council Chair,2014-11-15,,american-enterprise-institute
1025,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,Republican Jewish Coalition,Non-Profit,Chairman of Nominating Committee,1996-01-16,,republican-jewish-coalition
1026,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,Riverside Theatre Distinguished Lecturer Series,Non-Profit,Member,2011-11-15,,riverside-theatre-distinguished-lecturer-series
1027,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,Hudson Farm Foundation,Non-Profit,Board Member,2003-09-16,,hudson-farm-foundation
1030,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,The 2012 Restricted Trust B,Trust,Co-Trustee,2012-09-16,,the-2012-restricted-trust-b
1031,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,The HRK Family Trust Agreement,Trust,Trustee,2012-09-16,,the-hrk-family-trust-agreement
1032,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,The 2012 KRK Discretionary Trust A,Trust,Co-Trustee,2012-09-16,,the-2012-krk-discretionary-trust-a
1033,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,The 2012 KRK Restricted Trust B,Trust,Trustee,2012-09-16,,the-2012-krk-restricted-trust-b
1034,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,KRK Designation Trust,Trust,Trustee,2003-09-16,,krk-designation-trust
1035,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,The KRK 2015 Residence Trust,Trust,Trustee,2015-06-16,,the-krk-2015-residence-trust
1036,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,KKS 2015 Irrevocable Life Insurance Trust,Trust,Co-Trustee,2015-02-15,,kks-2015-irrevocable-life-insurance-trust
1071,jamie-mccourt,state,"Ambassador, Belgium","Ambassador, France & Monaco",,1618,2017-11-02,,4,,,Centre Pompidou Foundation,Non-Profit,Member - Board,2013-01-16,,centre-pompidou-foundation
1072,jamie-mccourt,state,"Ambassador, Belgium","Ambassador, France & Monaco",,1618,2017-11-02,,4,,,UNICEF,Non-Profit,Member - Southern California Regional Board,2013-08-16,,unicef
1163,david-shulkin,veterans-affairs,Secretary,,,1644,2017-02-13,2018-03-28,70,,,Data Driven Delivery Systems,Corporation,Board Member,2012-06-16,2015-06-16,data-driven-delivery-systems
1965,ivanka-trump,white-house-office,Assistant to the President,,,1314,2017-03-29,,14,,,TRUMP CHICAGO HOTEL MANAGER LLC (management company),Limited Liability Company,Vice President,2010-06-16,2017-01-16,trump-chicago-hotel-manager-llc-management-company
1039,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,The RSK 2014 Residence Trust,Trust,Trustee,2014-12-16,,the-rsk-2014-residence-trust
1040,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,RSK 2008 Revocable Trust,Trust,Co-Trustee,2008-02-15,,rsk-2008-revocable-trust
1041,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,The K 2014 Descendants Trust A,Trust,Co-Trustee,2014-12-16,,the-k-2014-descendants-trust-a
1043,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,K 2011 Investment Trust,Trust,Trustee,2011-11-15,,k-2011-investment-trust
1044,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,SL Family Trust,Trust,Co-Trustee,2015-03-16,,sl-family-trust
1045,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,DS Irrevocable Trust Agreement,Trust,Trustee,1998-01-16,,ds-irrevocable-trust-agreement
1046,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,The Marie-Josee and Henry R. Kravis Foundation,Non-Profit,Director and Treasurer,2015-11-15,,the-marie-josee-and-henry-r-kravis-foundation
1047,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,Trently Lane Property Company LLC,Single member LLC,Manager and President,2014-11-15,,trently-lane-property-company-llc
1048,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,Georgica Close LLC,Single Member LLC,Manager and President,2015-06-16,,georgica-close-llc
1049,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,HRK 1996 Corporation,Corporation,President,2002-12-16,,hrk-1996-corporation
1050,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,LaLista LP,"Limited Partnership, Formerly known as Ironhill, LP",Managing Partner,1997-09-16,,lalista-lp
1051,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,"LaLista II, LLC","Formerly known as Ironhill Investments, Inc.",Managing Member,1997-09-16,,lalista-ii-llc
1052,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,"NJRE I, LLC",Limited Liability Corporation,Managing Member,2015-01-16,,njre-i-llc
1053,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,Ironhill Foundation,Non-Profit,President,1993-01-16,,ironhill-foundation
1054,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,Seymour Eisenberg Memorial Foundation,Non-Profit,Trustee,2001-01-16,,seymour-eisenberg-memorial-foundation
1055,lewis-eisenberg,state,"Ambassador, Italy & San Marino",,,1615,2017-08-03,,4,,,Lewis M. Eisenberg Living Trust dtd 5/13/2009,Trust,Trustee,2009-03-16,,lewis-m-eisenberg-living-trust-dtd-5-13-2009
1056,edward-masso,state,"Ambassador, Estonia",,,1616,,,4,,,Masso Holding LLC d/b/a Flagship Connection,Corporation,President,2010-01-16,,masso-holding-llc-d-b-a-flagship-connection
1057,edward-masso,state,"Ambassador, Estonia",,,1616,,,4,,,Herdt Consulting (Enterprise Resources Company),Corporation,Consultant,2015-09-16,2016-09-16,herdt-consulting
1058,edward-masso,state,"Ambassador, Estonia",,,1616,,,4,,,Potomac Institute for  Policy Studies,Non-Profit,Senior Fellow,2009-01-16,,potomac-institute-for-policy-studies
1059,david-friedman,state,"Ambassador, Israel",,,1617,2017-03-23,,4,,,"Kasowitz, Benson, Torres & Friedman LLP",Law Firm,Partner,1994-06-16,,kasowitz-benson-torres-friedman-llp
1060,david-friedman,state,"Ambassador, Israel",,,1617,2017-03-23,,4,,,"Karraben Opportunities, LLC",Investment Limited Liability Company,Managing Member,2013-10-16,,karraben-opportunities-llc
1061,david-friedman,state,"Ambassador, Israel",,,1617,2017-03-23,,4,,,American Friends of Bet El Yeshiva Center,Charitable Organization,President,2011-12-16,,american-friends-of-bet-el-yeshiva-center
1062,david-friedman,state,"Ambassador, Israel",,,1617,2017-03-23,,4,,,Karraben Wine LLC,Investment Limited Liability Company,Managing Member,2014-08-16,,karraben-wine-llc
1063,david-friedman,state,"Ambassador, Israel",,,1617,2017-03-23,,4,,,DMF Woodlane Associates LP,Investment Limited Partnership,General Partner,2012-12-16,,dmf-woodlane-associates-lp
1064,david-friedman,state,"Ambassador, Israel",,,1617,2017-03-23,,4,,,American Friends of United Hatzalah,Charitable Organization,Board Member,2009-10-16,,american-friends-of-united-hatzalah
1065,david-friedman,state,"Ambassador, Israel",,,1617,2017-03-23,,4,,,Family Trust,Trust,Trustee,1995-01-16,,family-trust_hide-cd6beb4d-5512-4db7-9544-446e0765ffb4
1066,jamie-mccourt,state,"Ambassador, Belgium","Ambassador, France & Monaco",,1618,2017-11-02,,4,,,Los Angeles County Museum of Art (LACMA),Non-Profit,Member - Board of Trustees,2006-06-16,,los-angeles-county-museum-of-art-lacma
1067,jamie-mccourt,state,"Ambassador, Belgium","Ambassador, France & Monaco",,1618,2017-11-02,,4,,,Museum of Contemporary Art (MOCA),Non-Profit,Member - Board of Trustees,2015-02-15,,museum-of-contemporary-art
1069,jamie-mccourt,state,"Ambassador, Belgium","Ambassador, France & Monaco",,1618,2017-11-02,,4,,,Massachusetts Institute of Technology,University/Colle ge,Member - North American Executive Board,2008-10-16,,massachusetts-institute-of-technology
1070,jamie-mccourt,state,"Ambassador, Belgium","Ambassador, France & Monaco",,1618,2017-11-02,,4,,,Wallis Annenberg Center for the Performing Arts,Non-Profit,Member - Board of Directors,2015-03-16,,wallis-annenberg-center-for-the-performing-arts
4920,abigayle-k-jones,state,"Special Advisor to Transition, Office Of The Secretary","Senior Protocol Officer, Office Of The Chief Of Protocol",,645,2017-01-20,,4,"$161,900",,Credit Corp,Business Enterprise,General Partner,,2019-01-17,credit-corp
1074,jamie-mccourt,state,"Ambassador, Belgium","Ambassador, France & Monaco",,1618,2017-11-02,,4,,,Jamie Enterprises LP,Limited Partnership,Managing Partner through wholly owned LLC,2009-08-16,,jamie-enterprises-lp
1075,jamie-mccourt,state,"Ambassador, Belgium","Ambassador, France & Monaco",,1618,2017-11-02,,4,,,Jamie M LLC,Limited Liability Company,Owner,2013-10-16,,jamie-m-llc
1076,jamie-mccourt,state,"Ambassador, Belgium","Ambassador, France & Monaco",,1618,2017-11-02,,4,,,The Jamie Trust,Trust,Trustee (Revocable trust),2011-05-16,,the-jamie-trust
1077,jamie-mccourt,state,"Ambassador, Belgium","Ambassador, France & Monaco",,1618,2017-11-02,,4,,,Maccabi World Union,Non-Profit,Executive Committee Member - Board of Trustees,2016-06-16,,maccabi-world-union
1078,jamie-mccourt,state,"Ambassador, Belgium","Ambassador, France & Monaco",,1618,2017-11-02,,4,,,American Friends of The Hebrew University,University/Colle ge,Member - Board of Regents,2014-03-16,,american-friends-of-the-hebrew-university
1079,jamie-mccourt,state,"Ambassador, Belgium","Ambassador, France & Monaco",,1618,2017-11-02,,4,,,"Dahlia Dee, Inc.",Corporation,President,2013-08-16,,dahlia-dee-inc
